id,nomeParlamentar,nomeCompleto,cargo,partido,mandato,sexo,uf,telefone,email,nascimento,fotoURL,gastoTotal,gastoPorDia
916,JOÃO RIBEIRO,JOÃO RIBEIRO,SENADOR,PR,2011-2018,Masculino,TO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv916.jpg,483566.95024871826,330.98353884238077
4541,JOÃO VICENTE CLAUDINO,JOÃO VICENTE CLAUDINO,SENADOR,PTB,2011-2018,Masculino,PI,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4541.jpg,1591501.5495291352,1089.3234425250755
4533,JOAQUIM RORIZ,JOAQUIM RORIZ,SENADOR,PMDB,2011-2018,Masculino,DF,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4533.jpg,0.0,0.0
4776,JORGE AFONSO ARGELLO,JORGE AFONSO ARGELLO,SENADOR,PTB,2011-2018,Masculino,DF,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4776.jpg,0.0,0.0
4990,JORGE VIANA,JORGE VIANA,SENADOR,PT,2011-2018,Masculino,AC,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4990.jpg,1197566.228322029,819.6894102135723
40,JOSÉ AGRIPINO,JOSÉ AGRIPINO,SENADOR,DEM,2011-2018,Masculino,RN,,,,http://www.senado.leg.br/senadores/img/fotos/bemv40.jpg,1069649.1868457794,732.1349670402324
5112,JOSÉ MEDEIROS,JOSÉ MEDEIROS,SENADOR,PPS,2011-2018,Masculino,MT,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5112.jpg,0.0,0.0
615,JOSÉ PIMENTEL,JOSÉ PIMENTEL,SENADOR,PT,2011-2018,Masculino,CE,,,,http://www.senado.leg.br/senadores/img/fotos/bemv615.jpg,1571423.1585245132,1075.5805328709878
47,JOSÉ SARNEY,JOSÉ SARNEY,SENADOR,PMDB,2011-2018,Masculino,AP,,,,http://www.senado.leg.br/senadores/img/fotos/bemv47.jpg,96861.92999267578,66.29837781839547
5158,KAKÁ ANDRADE,KAKÁ ANDRADE,SENADOR,PDT,2011-2018,Masculino,SE,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5158.jpg,108275.96931838989,74.11086195646125
1249,KÁTIA ABREU,KÁTIA ABREU,SENADOR,PMDB,2011-2018,Feminino,TO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv1249.jpg,984081.4401035309,673.567036347386
5156,LAURO ANTONIO,LAURO ANTONIO,SENADOR,PR,2011-2018,Masculino,SE,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5156.jpg,89259.01001739502,61.094462708689264
4575,LÍDICE DA MATA,LÍDICE DA MATA,SENADOR,PSB,2011-2018,Feminino,BA,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4575.jpg,1387562.3691591322,949.7346811493034
3695,LINDBERGH FARIAS,LINDBERGH FARIAS,SENADOR,PT,2011-2018,Masculino,RJ,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3695.jpg,1295943.6893792152,887.025112511441
3579,LOBÃO FILHO,LOBÃO FILHO,SENADOR,PMDB,2011-2018,Masculino,MA,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3579.jpg,925038.3790416718,633.154263546661
643,LÚCIA VÂNIA,LÚCIA VÂNIA,SENADOR,PSDB,2011-2018,Feminino,GO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv643.jpg,977070.0292072296,668.7679871370497
5002,LUIZ HENRIQUE,LUIZ HENRIQUE,SENADOR,PMDB,2011-2018,Masculino,SC,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5002.jpg,1156042.738762118,791.2681305695537
631,MAGNO MALTA,MAGNO MALTA,SENADOR,PR,2011-2018,Masculino,ES,,,,http://www.senado.leg.br/senadores/img/fotos/bemv631.jpg,1299044.1313352585,889.1472493738936
3366,MARCELO CRIVELLA,MARCELO CRIVELLA,SENADOR,PRB,2011-2018,Masculino,RJ,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3366.jpg,451345.42082607,308.9291039192813
4788,MARCO ANTONIO,MARCO ANTONIO,SENADOR,PSL,2011-2018,Masculino,TO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4788.jpg,0.0,0.0
4535,MARCONI PERILLO,MARCONI PERILLO,SENADOR,PSDB,2011-2018,Masculino,GO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4535.jpg,0.0,0.0
1023,MARIA DO CARMO ALVES,MARIA DO CARMO ALVES,SENADOR,DEM,2011-2018,Feminino,SE,,,,http://www.senado.leg.br/senadores/img/fotos/bemv1023.jpg,466839.9197664261,319.53451044929915
4998,MARINOR BRITO,MARINOR BRITO,SENADOR,PSOL,2011-2018,Feminino,PA,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4998.jpg,332638.9582116604,227.67895839264912
4539,MÁRIO COUTO,MÁRIO COUTO,SENADOR,PSDB,2011-2018,Masculino,PA,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4539.jpg,1350813.5779852867,924.5815044389368
527,MARISA SERRANO,MARISA SERRANO,SENADOR,PSDB,2011-2018,Feminino,MS,,,,http://www.senado.leg.br/senadores/img/fotos/bemv527.jpg,92964.02003288269,63.63040385549807
5000,MARTA SUPLICY,MARTA SUPLICY,SENADOR,PT,2011-2018,Feminino,SP,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5000.jpg,314778.1481102705,215.4539001439223
952,MOZARILDO CAVALCANTI,MOZARILDO CAVALCANTI,SENADOR,PTB,2011-2018,Masculino,RR,,,,http://www.senado.leg.br/senadores/img/fotos/bemv952.jpg,1747114.3617464304,1195.8346076293158
4961,NÍURA DEMARCHI,NÍURA DEMARCHI,SENADOR,PSDB,2011-2018,Feminino,SC,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4961.jpg,0.0,0.0
64,ODACIR SOARES,ODACIR SOARES,SENADOR,PP,2011-2018,Masculino,RO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv64.jpg,121113.6598854065,82.89778226242744
1210,OSVALDO SOBRINHO,OSVALDO SOBRINHO,SENADOR,PTB,2011-2018,Masculino,MT,,,,http://www.senado.leg.br/senadores/img/fotos/bemv1210.jpg,34953.00030517578,23.924024849538522
3741,PAULO BAUER,PAULO BAUER,SENADOR,PSDB,2011-2018,Masculino,SC,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3741.jpg,1231788.112724781,843.1130135008768
5020,PAULO DAVIM,PAULO DAVIM,SENADOR,PV,2011-2018,Masculino,RN,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5020.jpg,900877.9995212555,616.6173850248156
825,PAULO PAIM,PAULO PAIM,SENADOR,PT,2011-2018,Masculino,RS,,,,http://www.senado.leg.br/senadores/img/fotos/bemv825.jpg,1450983.9889784753,993.1444140851987
68,PEDRO SIMON,PEDRO SIMON,SENADOR,PMDB,2011-2018,Masculino,RS,,,,http://www.senado.leg.br/senadores/img/fotos/bemv68.jpg,279852.97859954834,191.54892443500913
5010,PEDRO TAQUES,PEDRO TAQUES,SENADOR,PDT,2011-2018,Masculino,MT,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5010.jpg,911040.7995387316,623.5734425316438
4927,PERICLES OLIVIER,PERICLES OLIVIER,SENADOR,PP,2011-2018,Masculino,RJ,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4927.jpg,0.0,0.0
1206,RAIMUNDO COLOMBO,RAIMUNDO COLOMBO,SENADOR,DEM,2011-2018,Masculino,SC,,,,http://www.senado.leg.br/senadores/img/fotos/bemv1206.jpg,0.0,0.0
2207,RAIMUNDO LIRA,RAIMUNDO LIRA,SENADOR,PMDB,2011-2018,Masculino,PB,,,,http://www.senado.leg.br/senadores/img/fotos/bemv2207.jpg,0.0,0.0
5012,RANDOLFE RODRIGUES,RANDOLFE RODRIGUES,SENADOR,PSOL,2011-2018,Masculino,AP,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5012.jpg,1431137.1064035892,979.5599633152561
5072,REDITARIO CASSOL,REDITARIO CASSOL,SENADOR,PP,2011-2018,Masculino,RO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5072.jpg,133130.02981567383,91.12253923044068
5182,REGINA SOUSA,REGINA SOUSA,SENADOR,PT,2011-2018,Feminino,PI,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5182.jpg,0.0,0.0
70,RENAN CALHEIROS,RENAN CALHEIROS,SENADOR,PMDB,2011-2018,Masculino,AL,,,,http://www.senado.leg.br/senadores/img/fotos/bemv70.jpg,885294.8513636589,605.9513014124975
3868,RENATO CASAGRANDE,RENATO CASAGRANDE,SENADOR,PSB,2011-2018,Masculino,ES,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3868.jpg,0.0,0.0
635,RICARDO FERRAÇO,RICARDO FERRAÇO,SENADOR,PMDB,2011-2018,Masculino,ES,,,,http://www.senado.leg.br/senadores/img/fotos/bemv635.jpg,946091.6952092648,647.5644731069574
72,ROBERTO REQUIÃO,ROBERTO REQUIÃO,SENADOR,PMDB,2011-2018,Masculino,PR,,,,http://www.senado.leg.br/senadores/img/fotos/bemv72.jpg,1184203.6286163628,810.5432091829998
4593,RODRIGO ROLLEMBERG,RODRIGO ROLLEMBERG,SENADOR,PSB,2011-2018,Masculino,DF,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4593.jpg,0.0,0.0
73,ROMERO JUCÁ,ROMERO JUCÁ,SENADOR,PMDB,2011-2018,Masculino,RR,,,,http://www.senado.leg.br/senadores/img/fotos/bemv73.jpg,1458665.0899595022,998.4018411769351
4543,ROSALBA CIARLINI,ROSALBA CIARLINI,SENADOR,DEM,2011-2018,Feminino,RN,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4543.jpg,0.0,0.0
4893,RUBEN FIGUEIRÓ,RUBEN FIGUEIRÓ,SENADOR,PSDB,2011-2018,Masculino,MS,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4893.jpg,650643.8801765442,445.341464871009
5038,SANDRA BRAGA,SANDRA BRAGA,SENADOR,PMDB,2011-2018,Feminino,AM,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5038.jpg,0.0,0.0
4560,SÉRGIO PETECÃO,SÉRGIO PETECÃO,SENADOR,PSD,2011-2018,Masculino,AC,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4560.jpg,1710553.101408042,1170.8097887803162
5048,SERGIO SOUZA,SERGIO SOUZA,SENADOR,PMDB,2011-2018,Masculino,PR,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5048.jpg,794869.9182825089,544.0588078593489
4957,SODRÉ SANTORO,SODRÉ SANTORO,SENADOR,PTB,2011-2018,Masculino,RR,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4957.jpg,166425.08005070686,113.9117591038377
982,TIÃO VIANA,TIÃO VIANA,SENADOR,PT,2011-2018,Masculino,AC,,,,http://www.senado.leg.br/senadores/img/fotos/bemv982.jpg,0.0,0.0
4949,TOMÁS CORREIA,TOMÁS CORREIA,SENADOR,PMDB,2011-2018,Masculino,RO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4949.jpg,44422.84014892578,30.40577696709499
3372,VALDIR RAUPP,VALDIR RAUPP,SENADOR,PMDB,2011-2018,Masculino,RO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3372.jpg,1426937.3999538422,976.6854209129652
558,VANESSA GRAZZIOTIN,VANESSA GRAZZIOTIN,SENADOR,PCdoB,2011-2018,Feminino,AM,,,,http://www.senado.leg.br/senadores/img/fotos/bemv558.jpg,1791025.0186243057,1225.8898142534604
4763,VICENTINHO ALVES,VICENTINHO ALVES,SENADOR,PR,2011-2018,Masculino,TO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4763.jpg,1015783.8874721527,695.2661789679348
4786,VIRGINIO DE CARVALHO,VIRGINIO DE CARVALHO,SENADOR,PSC,2011-2018,Masculino,SE,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4786.jpg,0.0,0.0
4645,VITAL DO RÊGO,VITAL DO RÊGO,SENADOR,PMDB,2011-2018,Masculino,PB,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4645.jpg,1229036.0896312594,841.2293563526758
1176,WALDEMIR MOKA,WALDEMIR MOKA,SENADOR,PMDB,2011-2018,Masculino,MS,,,,http://www.senado.leg.br/senadores/img/fotos/bemv1176.jpg,1369295.8020124435,937.2318973391126
604,WALTER PINHEIRO,WALTER PINHEIRO,SENADOR,PT,2011-2018,Masculino,BA,,,,http://www.senado.leg.br/senadores/img/fotos/bemv604.jpg,839796.3695304468,574.8092878374038
5016,WELLINGTON DIAS,WELLINGTON DIAS,SENADOR,PT,2011-2018,Masculino,PI,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5016.jpg,1578799.436710745,1080.629320130558
5070,WILDER MORAIS,WILDER MORAIS,SENADOR,DEM,2011-2018,Masculino,GO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5070.jpg,356870.30949515104,244.26441443884397
4772,WILSON MATOS,WILSON MATOS,SENADOR,PSDB,2011-2018,Masculino,PR,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4772.jpg,0.0,0.0
3811,WILSON SANTIAGO,WILSON SANTIAGO,SENADOR,PMDB,2011-2018,Masculino,PB,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3811.jpg,282758.2698369026,193.53748791026874
5144,ZEZE PERRELLA,ZEZE PERRELLA,SENADOR,PDT,2011-2018,Masculino,MG,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5144.jpg,952169.7592840195,651.724681234784
